cell_id,group,color
oafebfdo-1,anterior forebrain,#CF8EB1
nmcaipbm-1,anterior forebrain,#CF8EB1
oacmpdfm-1,anterior forebrain,#CF8EB1
nmcnojdc-1,anterior forebrain,#CF8EB1
nmcjbmjh-1,anterior forebrain,#CF8EB1
oacmjfff-1,anterior forebrain,#CF8EB1
nmcnjkfc-1,anterior forebrain,#CF8EB1
nmccabgo-1,anterior forebrain,#CF8EB1
oacmlfbe-1,anterior forebrain,#CF8EB1
oagedkfj-1,anterior forebrain,#CF8EB1
oafalddf-1,anterior forebrain,#CF8EB1
oadhiagd-1,anterior forebrain,#CF8EB1
nplfkloo-1,anterior forebrain,#CF8EB1
oaeokama-1,anterior forebrain,#CF8EB1
oagcjelj-1,anterior forebrain,#CF8EB1
oafpdheh-1,anterior forebrain,#CF8EB1
oafanodg-1,anterior forebrain,#CF8EB1
oafmmadk-1,anterior forebrain,#CF8EB1
oaflkdjp-1,anterior forebrain,#CF8EB1
oafoghjc-1,anterior forebrain,#CF8EB1
oaelknah-1,anterior forebrain,#CF8EB1
oaenmoeo-1,anterior forebrain,#CF8EB1
oaebnmlk-1,anterior forebrain,#CF8EB1
oaegconp-1,anterior forebrain,#CF8EB1
oaehkdik-1,anterior forebrain,#CF8EB1
oaddbphg-1,anterior forebrain,#CF8EB1
oaekeobc-1,anterior forebrain,#CF8EB1
oaekioeo-1,anterior forebrain,#CF8EB1
oacpgdhh-1,anterior forebrain,#CF8EB1
nmcbapda-1,anterior forebrain,#CF8EB1
oaefjfml-1,anterior forebrain,#CF8EB1
nmbonalm-1,anterior forebrain,#CF8EB1
oaekojkm-1,anterior forebrain,#CF8EB1
oadnolcj-1,anterior forebrain,#CF8EB1
oaebnfih-1,anterior forebrain,#CF8EB1
oaeakgmb-1,anterior forebrain,#CF8EB1
oadlfeln-1,anterior forebrain,#CF8EB1
oadibdmj-1,anterior forebrain,#CF8EB1
oaebfhao-1,anterior forebrain,#CF8EB1
nlnmgbdg-1,anterior forebrain,#CF8EB1
oadkpbpc-1,anterior forebrain,#CF8EB1
oadkhcio-1,anterior forebrain,#CF8EB1
oadpmkmg-1,anterior forebrain,#CF8EB1
oaekanai-1,anterior forebrain,#CF8EB1
npkamfbb-1,anterior forebrain,#CF8EB1
npjoldmo-1,anterior forebrain,#CF8EB1
npkckocl-1,anterior forebrain,#CF8EB1
npimgjoh-1,anterior forebrain,#CF8EB1
npinbing-1,anterior forebrain,#CF8EB1
npipjkbb-1,anterior forebrain,#CF8EB1
npimbkla-1,anterior forebrain,#CF8EB1
oaeojlcc-1,anterior forebrain,#CF8EB1
oadhhdgc-1,anterior forebrain,#CF8EB1
oafdpjfc-1,anterior forebrain,#CF8EB1
ocjikmif-1,anterior forebrain,#CF8EB1
npkjodeh-1,anterior forebrain,#CF8EB1
ocfceakm-1,anterior forebrain,#CF8EB1
nplaeejc-1,anterior forebrain,#CF8EB1
ocjfihjl-1,anterior forebrain,#CF8EB1
npkiihci-1,anterior forebrain,#CF8EB1
npjpeccj-1,anterior forebrain,#CF8EB1
npkecnoa-1,anterior forebrain,#CF8EB1
npkbnaej-1,anterior forebrain,#CF8EB1
npkhcbmk-1,anterior forebrain,#CF8EB1
npkdbjka-1,anterior forebrain,#CF8EB1
npilgjeb-1,anterior forebrain,#CF8EB1
npjlhdco-1,anterior forebrain,#CF8EB1
npilchen-1,anterior forebrain,#CF8EB1
npipnmnc-1,anterior forebrain,#CF8EB1
npjgnnfo-1,anterior forebrain,#CF8EB1
npjgcdod-1,anterior forebrain,#CF8EB1
oadhlglh-1,anterior forebrain,#CF8EB1
ocjjabba-1,anterior forebrain,#CF8EB1
