cell_id,group
cijcjbco-1,translumenal cells III (posterior-lower)
cijjmffm-1,translumenal cells III (posterior-lower)
cijlcefa-1,translumenal cells III (posterior-lower)
cijlhffd-1,translumenal cells III (posterior-lower)
cijljojj-1,translumenal cells III (posterior-lower)
cijlpmal-1,translumenal cells III (posterior-lower)
cijmbllb-1,translumenal cells III (posterior-lower)
cijnkada-1,translumenal cells III (posterior-lower)
cijphepg-1,translumenal cells III (posterior-lower)
cikcbcdj-1,translumenal cells III (posterior-lower)
cikecekj-1,translumenal cells III (posterior-lower)
cikhbpla-1,translumenal cells III (posterior-lower)
cikjllok-1,translumenal cells III (posterior-lower)
cikocdeg-1,translumenal cells III (posterior-lower)
cikpdhlc-1,translumenal cells III (posterior-lower)
cilbpbdd-1,translumenal cells III (posterior-lower)
cileocjm-1,translumenal cells III (posterior-lower)
cillhijm-1,translumenal cells III (posterior-lower)
cillkilf-1,translumenal cells III (posterior-lower)
cimbmfkj-1,translumenal cells III (posterior-lower)
cincogfn-1,translumenal cells III (posterior-lower)
cineklkd-1,translumenal cells III (posterior-lower)
cinihkof-1,translumenal cells III (posterior-lower)
cinijhch-1,translumenal cells III (posterior-lower)
cinjfneb-1,translumenal cells III (posterior-lower)
cinjkekd-1,translumenal cells III (posterior-lower)
cjcmcpdh-1,translumenal cells III (posterior-lower)
cjcnanmn-1,translumenal cells III (posterior-lower)
cjdcmcpd-1,translumenal cells III (posterior-lower)
cjddmlao-1,translumenal cells III (posterior-lower)
cjddpmec-1,translumenal cells III (posterior-lower)
cjdlnhkb-1,translumenal cells III (posterior-lower)
cjdmdhap-1,translumenal cells III (posterior-lower)
cjdmijcb-1,translumenal cells III (posterior-lower)
cjdpdbbo-1,translumenal cells III (posterior-lower)
cjebdfjp-1,translumenal cells III (posterior-lower)
cjecfjhj-1,translumenal cells III (posterior-lower)
cjediiob-1,translumenal cells III (posterior-lower)
cjefomip-1,translumenal cells III (posterior-lower)
cjehkoac-1,translumenal cells III (posterior-lower)
cjehpmfb-1,translumenal cells III (posterior-lower)
cjennlbj-1,translumenal cells III (posterior-lower)
cjfabfim-1,translumenal cells III (posterior-lower)
cjfilena-1,translumenal cells III (posterior-lower)
cjgclcop-1,translumenal cells III (posterior-lower)
cjgecofl-1,translumenal cells III (posterior-lower)
cjgfgfgp-1,translumenal cells III (posterior-lower)
cjhnnfaj-1,translumenal cells III (posterior-lower)
cjiebdhh-1,translumenal cells III (posterior-lower)
cjifmlhd-1,translumenal cells III (posterior-lower)
cjigdcee-1,translumenal cells III (posterior-lower)
cjigmpjl-1,translumenal cells III (posterior-lower)
cjihmano-1,translumenal cells III (posterior-lower)
cjijekcp-1,translumenal cells III (posterior-lower)
cjinggci-1,translumenal cells III (posterior-lower)
cjiniiga-1,translumenal cells III (posterior-lower)
cjinloho-1,translumenal cells III (posterior-lower)
cjjakkgm-1,translumenal cells III (posterior-lower)
cjjipbnp-1,translumenal cells III (posterior-lower)
cjjkihec-1,translumenal cells III (posterior-lower)
cjjmplba-1,translumenal cells III (posterior-lower)
cjjngmmc-1,translumenal cells III (posterior-lower)
cjjoekik-1,translumenal cells III (posterior-lower)
cjjpnmcg-1,translumenal cells III (posterior-lower)
cjkdoepj-1,translumenal cells III (posterior-lower)
cjkikpoo-1,translumenal cells III (posterior-lower)
cjklcjlc-1,translumenal cells III (posterior-lower)
cjljiflb-1,translumenal cells III (posterior-lower)
cjlmbndg-1,translumenal cells III (posterior-lower)
cjlpobli-1,translumenal cells III (posterior-lower)
cjmehmci-1,translumenal cells III (posterior-lower)
cjmhiodc-1,translumenal cells III (posterior-lower)
cjmiamdj-1,translumenal cells III (posterior-lower)
cjndeeak-1,translumenal cells III (posterior-lower)
ckpedhja-1,translumenal cells III (posterior-lower)
clegapjm-1,translumenal cells III (posterior-lower)
cleikaoh-1,translumenal cells III (posterior-lower)
clejecfe-1,translumenal cells III (posterior-lower)
clemmiho-1,translumenal cells III (posterior-lower)
clfabcid-1,translumenal cells III (posterior-lower)
clfbfgaj-1,translumenal cells III (posterior-lower)
clfcknlj-1,translumenal cells III (posterior-lower)
clfdaama-1,translumenal cells III (posterior-lower)
clffdhan-1,translumenal cells III (posterior-lower)
clffdohe-1,translumenal cells III (posterior-lower)
clfmlngp-1,translumenal cells III (posterior-lower)
clfnpdli-1,translumenal cells III (posterior-lower)
clgaeggi-1,translumenal cells III (posterior-lower)
clgaegnd-1,translumenal cells III (posterior-lower)
clgdmdhc-1,translumenal cells III (posterior-lower)
clgekmbg-1,translumenal cells III (posterior-lower)
clggjikl-1,translumenal cells III (posterior-lower)
clghbjck-1,translumenal cells III (posterior-lower)
clgjphmg-1,translumenal cells III (posterior-lower)
clglpjll-1,translumenal cells III (posterior-lower)
clgmmgjm-1,translumenal cells III (posterior-lower)
clgnodjh-1,translumenal cells III (posterior-lower)
clmdagle-1,translumenal cells III (posterior-lower)
clmefpic-1,translumenal cells III (posterior-lower)
clmgdidn-1,translumenal cells III (posterior-lower)
clmoegkk-1,translumenal cells III (posterior-lower)
clnhkckc-1,translumenal cells III (posterior-lower)
clnhnibm-1,translumenal cells III (posterior-lower)
clnigode-1,translumenal cells III (posterior-lower)
clnmfpgb-1,translumenal cells III (posterior-lower)
cloejmnc-1,translumenal cells III (posterior-lower)
clofdicd-1,translumenal cells III (posterior-lower)
cloggckj-1,translumenal cells III (posterior-lower)
cloglmco-1,translumenal cells III (posterior-lower)
clojbddh-1,translumenal cells III (posterior-lower)
clojokmj-1,translumenal cells III (posterior-lower)
clpfekij-1,translumenal cells III (posterior-lower)
clpfogib-1,translumenal cells III (posterior-lower)
clpghjmi-1,translumenal cells III (posterior-lower)
clphohab-1,translumenal cells III (posterior-lower)
cmklcped-1,translumenal cells III (posterior-lower)
cmkmjepo-1,translumenal cells III (posterior-lower)
cmlbiiil-1,translumenal cells III (posterior-lower)
cmnfgmnc-1,translumenal cells III (posterior-lower)
cmoenepa-1,translumenal cells III (posterior-lower)
cmolfpbo-1,translumenal cells III (posterior-lower)
cmolmgjb-1,translumenal cells III (posterior-lower)
cmonkhma-1,translumenal cells III (posterior-lower)
cmpefhkk-1,translumenal cells III (posterior-lower)
cmpganjk-1,translumenal cells III (posterior-lower)
cmpgeojj-1,translumenal cells III (posterior-lower)
cmpmbnci-1,translumenal cells III (posterior-lower)
cmpnlaml-1,translumenal cells III (posterior-lower)
cmpoeaja-1,translumenal cells III (posterior-lower)
cmppdnch-1,translumenal cells III (posterior-lower)
cmppojje-1,translumenal cells III (posterior-lower)
cnaagicp-1,translumenal cells III (posterior-lower)
cnabidil-1,translumenal cells III (posterior-lower)
cnadccop-1,translumenal cells III (posterior-lower)
cnahhefn-1,translumenal cells III (posterior-lower)
cnajljle-1,translumenal cells III (posterior-lower)
cnakmnge-1,translumenal cells III (posterior-lower)
cndbkjff-1,translumenal cells III (posterior-lower)
cnidijgh-1,translumenal cells III (posterior-lower)
cnidldgb-1,translumenal cells III (posterior-lower)
cniejgbb-1,translumenal cells III (posterior-lower)
cnifjlck-1,translumenal cells III (posterior-lower)
cninhpkg-1,translumenal cells III (posterior-lower)
cniopemf-1,translumenal cells III (posterior-lower)
cnjmdlgn-1,translumenal cells III (posterior-lower)
cnjpoknd-1,translumenal cells III (posterior-lower)
cnkdjjjd-1,translumenal cells III (posterior-lower)
cnkdlbkg-1,translumenal cells III (posterior-lower)
cnkekcfk-1,translumenal cells III (posterior-lower)
cnkgoahp-1,translumenal cells III (posterior-lower)
cnkhgejc-1,translumenal cells III (posterior-lower)
cnkhggmi-1,translumenal cells III (posterior-lower)
cnkhppkb-1,translumenal cells III (posterior-lower)
cnkkohai-1,translumenal cells III (posterior-lower)
cocjodbh-1,translumenal cells III (posterior-lower)
cockjmjd-1,translumenal cells III (posterior-lower)
coicehbg-1,translumenal cells III (posterior-lower)
cokpglcl-1,translumenal cells III (posterior-lower)
cpacadfe-1,translumenal cells III (posterior-lower)
cpafeifm-1,translumenal cells III (posterior-lower)
cpamabka-1,translumenal cells III (posterior-lower)
ddjklfph-1,translumenal cells III (posterior-lower)
ddplonbi-1,translumenal cells III (posterior-lower)
deaccdlb-1,translumenal cells III (posterior-lower)
deppbioc-1,translumenal cells III (posterior-lower)
dfaaemgk-1,translumenal cells III (posterior-lower)
dfabnphp-1,translumenal cells III (posterior-lower)
dfcoebhp-1,translumenal cells III (posterior-lower)
dgifhgal-1,translumenal cells III (posterior-lower)
dicmdpae-1,translumenal cells III (posterior-lower)
didaakha-1,translumenal cells III (posterior-lower)
didchdai-1,translumenal cells III (posterior-lower)
didcicmg-1,translumenal cells III (posterior-lower)
didfikpa-1,translumenal cells III (posterior-lower)
didfkiie-1,translumenal cells III (posterior-lower)
didhfipa-1,translumenal cells III (posterior-lower)
didiflpc-1,translumenal cells III (posterior-lower)
didjdfim-1,translumenal cells III (posterior-lower)
didjklej-1,translumenal cells III (posterior-lower)
didjlndn-1,translumenal cells III (posterior-lower)
didkeffg-1,translumenal cells III (posterior-lower)
didlkham-1,translumenal cells III (posterior-lower)
didlmjkk-1,translumenal cells III (posterior-lower)
didmieil-1,translumenal cells III (posterior-lower)
didnmjll-1,translumenal cells III (posterior-lower)
didpjgnj-1,translumenal cells III (posterior-lower)
dieefhge-1,translumenal cells III (posterior-lower)
dieeinih-1,translumenal cells III (posterior-lower)
dieeookh-1,translumenal cells III (posterior-lower)
diejniil-1,translumenal cells III (posterior-lower)
dijegnjg-1,translumenal cells III (posterior-lower)
dijhgboo-1,translumenal cells III (posterior-lower)
dimgljlj-1,translumenal cells III (posterior-lower)
dimooaok-1,translumenal cells III (posterior-lower)
dlnpiigk-1,translumenal cells III (posterior-lower)
dloalhen-1,translumenal cells III (posterior-lower)
dnkolhid-1,translumenal cells III (posterior-lower)
dnlgfkah-1,translumenal cells III (posterior-lower)
dnoieglk-1,translumenal cells III (posterior-lower)
dnomemfc-1,translumenal cells III (posterior-lower)
doaingln-1,translumenal cells III (posterior-lower)
dpgihiaj-1,translumenal cells III (posterior-lower)
dpldkind-1,translumenal cells III (posterior-lower)
dplhmgpn-1,translumenal cells III (posterior-lower)
dpmenfkf-1,translumenal cells III (posterior-lower)
dpmfbdjd-1,translumenal cells III (posterior-lower)
dpmgflol-1,translumenal cells III (posterior-lower)
dpmiakoh-1,translumenal cells III (posterior-lower)
dpmnigic-1,translumenal cells III (posterior-lower)
dpnajopo-1,translumenal cells III (posterior-lower)
dpncdfof-1,translumenal cells III (posterior-lower)
dpnejkgi-1,translumenal cells III (posterior-lower)
dpnfaojc-1,translumenal cells III (posterior-lower)
dpnhenli-1,translumenal cells III (posterior-lower)
dpniikmi-1,translumenal cells III (posterior-lower)
dpnikcbp-1,translumenal cells III (posterior-lower)
dpnjmehe-1,translumenal cells III (posterior-lower)
dpnkbeda-1,translumenal cells III (posterior-lower)
dpnmklhc-1,translumenal cells III (posterior-lower)
dpnngkhl-1,translumenal cells III (posterior-lower)
dpogdhma-1,translumenal cells III (posterior-lower)
dpohmlfm-1,translumenal cells III (posterior-lower)
dpokfeln-1,translumenal cells III (posterior-lower)
dppdjmie-1,translumenal cells III (posterior-lower)
dppdldbk-1,translumenal cells III (posterior-lower)
dppgnnad-1,translumenal cells III (posterior-lower)
dppjmald-1,translumenal cells III (posterior-lower)
dppkcpfj-1,translumenal cells III (posterior-lower)
eaagmjgk-1,translumenal cells III (posterior-lower)
eabdfpnb-1,translumenal cells III (posterior-lower)
eabjadfg-1,translumenal cells III (posterior-lower)
eabkgpjf-1,translumenal cells III (posterior-lower)
eabnffmh-1,translumenal cells III (posterior-lower)
eabodmdo-1,translumenal cells III (posterior-lower)
eaboilnf-1,translumenal cells III (posterior-lower)
eacegeii-1,translumenal cells III (posterior-lower)
eacfabdd-1,translumenal cells III (posterior-lower)
eachcigl-1,translumenal cells III (posterior-lower)
eachpkpi-1,translumenal cells III (posterior-lower)
eacigelh-1,translumenal cells III (posterior-lower)
eacjblll-1,translumenal cells III (posterior-lower)
eacjkdch-1,translumenal cells III (posterior-lower)
ebngpihn-1,translumenal cells III (posterior-lower)
ebnjkhkp-1,translumenal cells III (posterior-lower)
ebnkagnl-1,translumenal cells III (posterior-lower)
ebnpikjj-1,translumenal cells III (posterior-lower)
eboahonk-1,translumenal cells III (posterior-lower)
ebocikhh-1,translumenal cells III (posterior-lower)
ebodjbfb-1,translumenal cells III (posterior-lower)
ebodnfna-1,translumenal cells III (posterior-lower)
ebofadbj-1,translumenal cells III (posterior-lower)
ebohihbg-1,translumenal cells III (posterior-lower)
eboikmkk-1,translumenal cells III (posterior-lower)
eboinplo-1,translumenal cells III (posterior-lower)
eboipgdj-1,translumenal cells III (posterior-lower)
